Tanggal Transaksi,Produk,Quantity,  Harga (Per PCS)  ,  Sub Total  ,,
4/1/2023 7:53,ULTRA SUSU UHT STERIL SLIM PLAIN TPK 200mL,2,6000,12000,,
4/1/2023 7:53,AQUA AIR MINERAL  BTL 600mL,1,2500,2500,,
4/1/2023 7:53,ULTRA JUICE SARI KACANG IJO TPK 150mL,1,3000,3000,,
4/1/2023 7:53,Klasik kasur krim meses,1,11000,11000,,
4/1/2023 7:53,MOLTO PELEMBUT&PEWANGI PKN SB ALL IN 1 BLUE SCT 20/18mL,5,1000,5000,,
4/1/2023 7:53,RINSO DETERJEN POWDER + MOLTO ROSE FRESH PCK 215/195g,1,5000,5000,,
4/1/2023 7:53,LE MINERALE AIR MINERAL  BTL 600mL,1,3000,3000,,
4/1/2023 7:53,LE MINERALE AIR MINERAL  BTL 600mL,1,3000,3000,,
4/1/2023 7:53,LE MINERALE AIR MINERAL  BTL 330mL,1,2000,2000,,
4/1/2023 7:53,Krim coklat II,1,6000,6000,,
4/1/2023 7:53,OSKADON SP OBAT PEREDA NYERI 4'S  STR ,1,2500,2500,,
4/1/2023 7:53,Populer cokelat vanila ,1,5000,5000,,
4/1/2023 7:53,HUKI BABY COTTON BUDS 50'S  PCK ,1,4500,4500,,
4/1/2023 7:53,LUX SABUN MANDI BATANG GREEN LILY FRES BAR 75/70g,1,4500,4500,,
4/1/2023 7:53,PANDA GRASS JELLY DRINK  KLG 310mL,1,6000,6000,,
4/3/2023 9:32,NARAYA SOYA BOTOL KEDELAI  BTL 320ml,1,5500,5500,,
4/3/2023 9:32,Roti isi coklat II - GT,1,4000,4000,,
4/3/2023 9:32,CLAS MILD ROKOK FILTER  BKS 16'S,1,28000,28000,,
4/3/2023 9:32,LARISST LIGHTER ELEKTRIK  PCS ,1,2500,2500,,
4/3/2023 9:32,GUDANG GARAM ROKOK FILTER MERAH (PCS)  BKS 12'S,1,24000,24000,,
4/3/2023 9:32,ESSE CHANGE ROKOK FILTER GRAPE BKS 20'S,1,34000,34000,,
4/3/2023 9:32,DIPLOMAT ROKOK EVO  BKS 16'S,3,19000,57000,,
4/3/2023 9:32,GELIGA BALSAM OTOT  POT 20g,1,10500,10500,,
4/3/2023 9:32,FRESH CARE MINYAK ANGIN AROMA THERAPY STRONG BTL 10mL,1,16000,16000,,
4/3/2023 9:32,LE MINERALE AIR MINERAL  BTL 600mL,31,3000,93000,,
4/3/2023 9:32,GOOD DAY COFFEE DRINK FUNTS.MOCACINNO BTL 250mL,1,5500,5500,,
4/3/2023 9:32,GOOD DAY COFFEE DRINK TIRAMISU BLISS BTL 250mL,1,5500,5500,,
4/3/2023 9:32,ADEM SARI CHING KU LEMON KLG 320mL,1,8000,8000,,
4/3/2023 9:32,POCARI SWEAT MINUMAN ISOTONIK  KLG 330mL,1,6000,6000,,
4/3/2023 9:32,Tas Belanja,1,4000,4000,,
4/3/2023 9:32,AQUA AIR MINERAL  BTL 600mL,1,2500,2500,,
4/3/2023 9:32,AQUA AIR MINERAL  BTL 600mL,2,2500,5000,,
4/3/2023 9:32,GOOD DAY COFFEE DRINK CAPPUCCINO BTL 250mL,1,5500,5500,,
4/3/2023 9:32,KAKI TIGA LARUTAN PENYEGAR JERUK KLG 320mL,1,6000,6000,,
4/3/2023 9:32,GUDANG GARAM ROKOK FILTER SURYA PRO 16'S  BKS ,1,29000,29000,,
4/3/2023 9:32,ABC COFFEE DRINK CHOCOMALT COFFE BTL 200mL,1,3000,3000,,
4/3/2023 9:32,GOLDA COFFEE DRINK DOLCE LATTE BTL 200mL,1,3000,3000,,
4/3/2023 9:32,PUCUK HARUM MINUMAN TEH MELATI BTL 350mL,1,3000,3000,,
4/3/2023 9:32,GUDANG GARAM ROKOK FILTER SURYA (PCS)  BKS 16'S,1,31000,31000,,
4/3/2023 9:32,LARISST LIGHTER ELEKTRIK  PCS ,1,2500,2500,,
4/3/2023 9:32,LE MINERALE AIR MINERAL  BTL 600mL,1,3000,3000,,
4/3/2023 9:32,GOOD DAY COFFEE DRINK TIRAMISU BLISS BTL 250mL,1,5500,5500,,
4/3/2023 9:32,GUDANG GARAM ROKOK FILTER MERAH (PCS)  BKS 12'S,1,24000,24000,,
4/3/2023 9:32,CAP BADAK LARUTAN PENYEGAR JAMBU KLG 320mL,1,6500,6500,,
4/3/2023 9:32,BEAR BRAND SUSU ENCER STERIL  KLG 189mL,3,11000,33000,,
4/3/2023 9:32,TUJUH KURMA SUSU STERIL KURMA  KLG 200mL,1,10000,10000,,
4/3/2023 9:32,Buko pandan,2,15000,30000,,
4/3/2023 9:32,GOOD DAY COFFEE DRINK TIRAMISU BLISS BTL 250mL,2,5500,11000,,
4/3/2023 9:32,GUDANG GARAM ROKOK FILTER SURYA (PCS)  BKS 16'S,1,31000,31000,,
4/3/2023 9:32,KAPAL API KOPI BUBUK SPECIAL MIX PCK 10X24g,2,1500,3000,,
4/3/2023 9:32,PUCUK HARUM MINUMAN TEH MELATI BTL 350mL,1,3000,3000,,
4/3/2023 9:32,NABATI RICHEESE WAFER KRIM KEJU PCK 42/39g,1,2000,2000,,
4/3/2023 9:32,PCS GOOD DAY KOPI INSTANT 3 IN 1 CHOCOCINNO BAG 50x20g,1,1500,1500,,
4/3/2023 9:32,ZIGA ROKOK FILTER 12'S  BKS ,1,14000,14000,,
4/3/2023 9:32,LE MINERALE AIR MINERAL  BTL 600mL,1,3000,3000,,
4/3/2023 9:32,LE MINERALE AIR MINERAL  BTL 600mL,1,3000,3000,,
4/3/2023 9:32,POCARI SWEAT MINUMAN ISOTONIK  KLG 330mL,1,6000,6000,,
4/3/2023 9:32,PEPSODENT PASTA GIGI WHITE  TUB 75g,1,4500,4500,,
4/3/2023 9:32,HEMAVITON ENERGI DRINK  BTL 150mL,1,5000,5000,,
4/3/2023 9:32,GILLETTE RAZOR BLUE II PLUS SINGLE  PCS ,1,9500,9500,,
4/3/2023 9:32,LIFEBUOY SABUN MANDI TS TOTAL 10 BAR 75/70g,1,5000,5000,,
4/3/2023 9:32,LE MINERALE AIR MINERAL  BTL 600mL,1,3000,3000,,
4/3/2023 9:32,LE MINERALE AIR MINERAL  BTL 600mL,1,3000,3000,,
4/3/2023 9:32,Dorayaki isi coklat,1,6000,6000,,
4/3/2023 9:32,PUCUK HARUM MINUMAN TEH MELATI BTL 350mL,3,3000,9000,,
4/3/2023 9:32,GUDANG GARAM ROKOK FILTER SIGNATURE  BKS 12'S,1,22000,22000,,
4/3/2023 9:32,Rengginang,3,15000,45000,,
4/3/2023 9:32,Buko pandan,8,15000,120000,,
4/3/2023 9:32,Peyek,2,7000,14000,,
