Tanggal Transaksi,Produk,Quantity, Harga (Per PCS) , Sub Total 
3/7/2023,Sobek coklat II,1," Rp19,000 "," Rp19,000 "
3/7/2023,"GOOD DAY COFFEE DRINK FUNTS,MOCACINNO BTL 250mL",1," Rp5,500 "," Rp5,500 "
3/7/2023,GOOD DAY COFFEE DRINK TIRAMISU BLISS BTL 250mL,1," Rp5,500 "," Rp5,500 "
3/7/2023,GILLETTE RAZOR BLUE II PLUS SINGLE  PCS ,1," Rp9,500 "," Rp9,500 "
3/7/2023,LE MINERALE AIR MINERAL  BTL 330mL,1," Rp2,000 "," Rp2,000 "
3/7/2023,TARO SNACK (60730) SEAWEED PCK 36/32g,1," Rp5,000 "," Rp5,000 "
3/7/2023,LE MINERALE AIR MINERAL  BTL 600mL,1," Rp3,000 "," Rp3,000 "
3/7/2023,PUCUK HARUM MINUMAN TEH MELATI BTL 350mL,1," Rp3,000 "," Rp3,000 "
3/7/2023,MINUTE MAID JUICE NUTRIBOOST STRAWBERRY BTL 300mL,1," Rp6,000 "," Rp6,000 "
3/7/2023,Krim keju II,1," Rp6,000 "," Rp6,000 "
3/7/2023,Wales sollero mangga,2," Rp5,000 "," Rp10,000 "
3/7/2023,Paddle pop upin ipin,2," Rp3,000 "," Rp6,000 "
3/7/2023,Paddle pop twister,3," Rp3,500 "," Rp10,500 "
3/7/2023,Paddle pop cocok magma,2," Rp2,000 "," Rp4,000 "
3/7/2023,Festival cokelat ,2," Rp5,000 "," Rp10,000 "
3/7/2023,Paddle pop trico,3," Rp2,000 "," Rp6,000 "
3/7/2023,Festival vanila ,1," Rp5,000 "," Rp5,000 "
3/7/2023,Paddle pop rainbow,3," Rp3,000 "," Rp9,000 "
3/7/2023,Paddle Pop Choco Lava,3," Rp3,000 "," Rp9,000 "
3/7/2023,Paddle pop banana boat,2," Rp5,000 "," Rp10,000 "
3/7/2023,Paddle pop cocok magma,4," Rp2,000 "," Rp8,000 "
3/7/2023,Festival cokelat ,2," Rp5,000 "," Rp10,000 "
3/7/2023,Paddle Pop Choco Lava,2," Rp3,000 "," Rp6,000 "
3/7/2023,BENG-BENG WAFER CHOCOLATE BOX 17x25g,1," Rp2,000 "," Rp2,000 "
3/7/2023,Populer cokelat vanila ,1," Rp5,000 "," Rp5,000 "
3/7/2023,Tas Belanja,1," Rp4,000 "," Rp4,000 "
3/7/2023,Paddle pop sweet corn,3," Rp4,000 "," Rp12,000 "
3/7/2023,Paddle pop trico,7," Rp2,000 "," Rp14,000 "
3/7/2023,Festival vanila ,3," Rp5,000 "," Rp15,000 "
3/7/2023,Paddle pop rainbow,7," Rp3,000 "," Rp21,000 "
3/7/2023,Paddle Pop Choco Lava,5," Rp3,000 "," Rp15,000 "
3/7/2023,CHITATO LITE SNACK POTATO NORI SEAWEED PCK 68g,1," Rp11,000 "," Rp11,000 "
3/7/2023,GOOD TIME COOKIES CHOCOCHIPS DOUBLE CHOC PCK 17/16g,3," Rp1,000 "," Rp3,000 "
3/7/2023,ICHITAN THAI MILK TEA DRINK  BTL 310mL,1," Rp8,000 "," Rp8,000 "
3/7/2023,PUCUK HARUM MINUMAN TEH MELATI BTL 350mL,5," Rp3,000 "," Rp15,000 "
3/7/2023,"GOOD DAY COFFEE DRINK FUNTS,MOCACINNO BTL 250mL",2," Rp5,500 "," Rp11,000 "
3/7/2023,YOU C1000 ISOTONIC DRINK ORANGE WATER BTL 500mL,1," Rp8,000 "," Rp8,000 "
